iter	Passed	Remaining
0	14	21367
1	28	21198
2	42	21283
3	56	21240
4	71	21493
5	87	21719
6	102	21865
7	117	21829
8	132	21876
9	144	21541
10	160	21762
11	172	21414
12	184	21156
13	196	20852
14	209	20756
15	221	20530
16	235	20555
17	250	20655
18	266	20772
19	276	20447
20	286	20192
21	296	19925
22	310	19948
23	321	19758
24	333	19669
25	343	19482
26	355	19392
27	366	19248
28	377	19139
29	389	19077
30	402	19082
31	413	18987
32	424	18866
33	433	18677
34	448	18773
35	463	18834
36	472	18689
37	482	18580
38	495	18574
39	503	18390
40	514	18302
41	522	18152
42	534	18096
43	545	18044
44	554	17939
45	565	17865
46	576	17824
47	587	17772
48	602	17835
49	614	17831
50	625	17769
51	637	17746
52	650	17749
53	661	17718
54	675	17735
55	687	17719
56	699	17710
57	711	17696
58	724	17685
59	733	17608
60	745	17581
61	758	17581
62	767	17506
63	777	17445
64	789	17440
65	801	17408
66	812	17383
67	825	17387
68	836	17356
69	851	17390
70	864	17393
71	879	17446
72	895	17496
73	907	17490
74	922	17521
75	935	17534
76	950	17560
77	969	17669
78	985	17719
79	1000	17750
80	1014	17780
81	1028	17784
82	1044	17838
83	1060	17873
84	1075	17908
85	1094	17996
86	1108	18006
87	1123	18022
88	1138	18046
89	1150	18021
90	1161	17986
91	1173	17959
92	1185	17935
93	1198	17919
94	1208	17871
95	1219	17837
96	1232	17820
97	1242	17768
98	1254	17750
99	1267	17747
100	1280	17734
101	1297	17777
102	1310	17777
103	1349	18118
104	1373	18252
105	1397	18374
106	1411	18380
107	1426	18384
108	1439	18368
109	1453	18367
110	1467	18358
111	1480	18343
112	1493	18336
113	1507	18324
114	1520	18306
115	1531	18277
116	1546	18277
117	1560	18275
118	1573	18260
119	1586	18242
120	1599	18233
121	1612	18217
122	1625	18193
123	1638	18179
124	1651	18164
125	1663	18141
126	1677	18137
127	1691	18132
128	1703	18102
129	1715	18075
130	1728	18068
131	1743	18066
132	1758	18075
133	1772	18073
134	1788	18082
135	1800	18056
136	1814	18050
137	1826	18028
138	1839	18015
139	1853	18004
140	1864	17975
141	1876	17949
142	1889	17934
143	1900	17899
144	1913	17879
145	1925	17854
146	1937	17833
147	1950	17820
148	1968	17849
149	1983	17847
150	1994	17822
151	2005	17786
152	2016	17754
153	2026	17710
154	2038	17686
155	2049	17660
156	2063	17648
157	2074	17622
158	2087	17603
159	2098	17575
160	2110	17553
161	2123	17538
162	2137	17534
163	2150	17519
164	2166	17528
165	2180	17521
166	2192	17501
167	2203	17472
168	2214	17440
169	2226	17422
170	2236	17383
171	2249	17371
172	2260	17340
173	2274	17334
174	2285	17307
175	2298	17289
176	2310	17269
177	2320	17231
178	2331	17206
179	2345	17203
180	2357	17180
181	2370	17164
182	2381	17138
183	2396	17138
184	2407	17114
185	2420	17099
186	2433	17088
187	2446	17070
188	2456	17042
189	2469	17026
190	2481	17008
191	2491	16974
192	2503	16956
193	2514	16926
194	2526	16909
195	2537	16884
196	2551	16874
197	2564	16862
198	2576	16844
199	2588	16826
200	2601	16812
201	2614	16799
202	2626	16780
203	2637	16758
204	2649	16740
205	2664	16738
206	2676	16720
207	2689	16703
208	2700	16684
209	2712	16663
210	2725	16650
211	2735	16620
212	2748	16607
213	2761	16595
214	2775	16589
215	2788	16574
216	2803	16574
217	2816	16564
218	2828	16543
219	2842	16536
220	2853	16516
221	2867	16504
222	2880	16494
223	2892	16477
224	2904	16461
225	2918	16451
226	2930	16435
227	2943	16419
228	2957	16417
229	2977	16443
230	2990	16427
231	3004	16423
232	3017	16409
233	3027	16381
234	3038	16357
235	3050	16336
236	3064	16329
237	3075	16305
238	3086	16282
239	3096	16255
240	3106	16226
241	3116	16201
242	3128	16182
243	3138	16156
244	3149	16134
245	3162	16118
246	3174	16103
247	3187	16090
248	3200	16079
249	3215	16076
250	3228	16064
251	3241	16050
252	3252	16032
253	3265	16017
254	3279	16011
255	3293	16004
256	3307	15996
257	3319	15982
258	3331	15961
259	3343	15947
260	3357	15940
261	3373	15938
262	3388	15936
263	3403	15933
264	3417	15925
265	3428	15904
266	3442	15897
267	3456	15888
268	3470	15879
269	3484	15872
270	3494	15847
271	3504	15822
272	3513	15793
273	3525	15772
274	3540	15771
275	3551	15749
276	3564	15736
277	3576	15722
278	3589	15707
279	3601	15691
280	3616	15687
281	3629	15675
282	3645	15675
283	3661	15676
284	3675	15669
285	3690	15663
286	3701	15642
287	3713	15629
288	3727	15618
289	3740	15606
290	3756	15604
291	3770	15596
292	3786	15599
293	3799	15587
294	3814	15581
295	3827	15569
296	3842	15565
297	3855	15549
298	3872	15555
299	3889	15556
300	3903	15547
301	3913	15522
302	3927	15515
303	3939	15499
304	3953	15491
305	3970	15492
306	4001	15549
307	4017	15547
308	4035	15553
309	4052	15555
310	4073	15573
311	4090	15573
312	4108	15581
313	4125	15581
314	4141	15581
315	4161	15592
316	4177	15588
317	4191	15578
318	4204	15567
319	4219	15561
320	4232	15545
321	4245	15532
322	4258	15518
323	4270	15502
324	4285	15493
325	4298	15480
326	4312	15471
327	4324	15451
328	4335	15432
329	4347	15414
330	4362	15406
331	4376	15398
332	4387	15375
333	4400	15363
334	4415	15355
335	4428	15342
336	4442	15332
337	4456	15321
338	4469	15308
339	4483	15295
340	4499	15293
341	4514	15286
342	4526	15269
343	4539	15256
344	4550	15232
345	4563	15220
346	4576	15206
347	4591	15198
348	4606	15190
349	4621	15183
350	4633	15167
351	4646	15154
352	4659	15140
353	4672	15126
354	4686	15114
355	4698	15099
356	4713	15089
357	4726	15076
358	4740	15067
359	4755	15060
360	4768	15046
361	4779	15025
362	4792	15010
363	4805	14998
364	4820	14990
365	4833	14977
366	4845	14958
367	4857	14942
368	4870	14929
369	4882	14912
370	4894	14893
371	4906	14878
372	4919	14865
373	4935	14858
374	4949	14848
375	4961	14831
376	4977	14825
377	5001	14844
378	5014	14832
379	5027	14818
380	5042	14809
381	5053	14789
382	5066	14777
383	5079	14762
384	5092	14748
385	5104	14732
386	5119	14722
387	5132	14709
388	5146	14699
389	5171	14720
390	5203	14758
391	5218	14748
392	5235	14747
393	5250	14737
394	5269	14740
395	5287	14740
396	5307	14746
397	5321	14733
398	5335	14722
399	5351	14717
400	5366	14707
401	5380	14696
402	5394	14684
403	5410	14677
404	5425	14669
405	5438	14655
406	5452	14642
407	5467	14632
408	5479	14617
409	5493	14604
410	5507	14592
411	5520	14577
412	5533	14562
413	5545	14547
414	5561	14539
415	5576	14531
416	5592	14523
417	5606	14513
418	5623	14508
419	5637	14495
420	5649	14479
421	5662	14464
422	5676	14453
423	5691	14443
424	5706	14434
425	5719	14420
426	5732	14404
427	5744	14388
428	5758	14376
429	5773	14366
430	5788	14355
431	5801	14343
432	5818	14337
433	5834	14331
434	5845	14312
435	5859	14298
436	5874	14289
437	5888	14278
438	5902	14265
439	5917	14255
440	5929	14239
441	5941	14221
442	5953	14204
443	5967	14193
444	5983	14185
445	6014	14213
446	6026	14195
447	6038	14180
448	6051	14164
449	6065	14152
450	6081	14144
451	6092	14126
452	6106	14114
453	6123	14107
454	6138	14097
455	6150	14080
456	6162	14064
457	6176	14052
458	6189	14038
459	6204	14026
460	6218	14015
461	6230	13999
462	6245	13987
463	6260	13977
464	6274	13966
465	6285	13947
466	6300	13936
467	6313	13920
468	6324	13904
469	6336	13886
470	6348	13870
471	6361	13855
472	6374	13840
473	6388	13827
474	6401	13813
475	6416	13804
476	6432	13794
477	6445	13780
478	6458	13766
479	6473	13756
480	6485	13738
481	6499	13727
482	6513	13714
483	6527	13702
484	6541	13689
485	6555	13678
486	6571	13668
487	6584	13655
488	6597	13640
489	6614	13633
490	6626	13618
491	6639	13603
492	6653	13590
493	6664	13570
494	6678	13560
495	6692	13546
496	6706	13534
497	6719	13520
498	6729	13498
499	6741	13482
500	6754	13468
501	6766	13452
502	6780	13438
503	6793	13425
504	6806	13410
505	6820	13398
506	6836	13390
507	6851	13380
508	6866	13369
509	6876	13349
510	6890	13335
511	6902	13320
512	6916	13307
513	6928	13290
514	6940	13274
515	6953	13260
516	6967	13247
517	6981	13234
518	7012	13253
519	7027	13243
520	7040	13229
521	7054	13216
522	7068	13204
523	7081	13189
524	7095	13176
525	7106	13158
526	7119	13145
527	7134	13134
528	7151	13127
529	7165	13114
530	7182	13107
531	7198	13098
532	7213	13087
533	7230	13080
534	7245	13069
535	7261	13060
536	7278	13051
537	7294	13043
538	7310	13033
539	7323	13020
540	7335	13003
541	7348	12988
542	7360	12972
543	7374	12959
544	7385	12942
545	7401	12932
546	7415	12918
547	7429	12906
548	7444	12894
549	7457	12880
550	7474	12873
551	7490	12863
552	7503	12849
553	7517	12835
554	7532	12825
555	7545	12810
556	7558	12796
557	7574	12786
558	7588	12774
559	7602	12760
560	7614	12744
561	7627	12731
562	7639	12714
563	7654	12702
564	7669	12692
565	7686	12683
566	7697	12666
567	7710	12651
568	7722	12635
569	7735	12621
570	7749	12608
571	7761	12591
572	7775	12578
573	7789	12566
574	7803	12554
575	7818	12541
576	7832	12528
577	7843	12512
578	7858	12500
579	7873	12488
580	7887	12475
581	7898	12458
582	7910	12442
583	7921	12424
584	7931	12405
585	7942	12387
586	7952	12369
587	7963	12351
588	7976	12336
589	7988	12320
590	8000	12305
591	8029	12315
592	8042	12301
593	8055	12287
594	8068	12272
595	8084	12263
596	8095	12244
597	8107	12228
598	8116	12208
599	8127	12191
600	8138	12173
601	8149	12156
602	8160	12138
603	8172	12123
604	8182	12105
605	8194	12088
606	8205	12071
607	8216	12054
608	8227	12037
609	8239	12021
610	8252	12007
611	8264	11991
612	8277	11977
613	8290	11962
614	8302	11948
615	8314	11931
616	8324	11913
617	8335	11895
618	8345	11877
619	8355	11859
620	8365	11840
621	8377	11825
622	8387	11807
623	8397	11789
624	8409	11773
625	8422	11759
626	8435	11745
627	8446	11728
628	8459	11713
629	8472	11700
630	8487	11688
631	8501	11676
632	8515	11663
633	8530	11651
634	8542	11637
635	8556	11623
636	8569	11609
637	8581	11594
638	8594	11580
639	8608	11567
640	8618	11549
641	8629	11532
642	8640	11515
643	8652	11500
644	8665	11487
645	8679	11474
646	8692	11460
647	8705	11445
648	8716	11430
649	8731	11418
650	8746	11406
651	8764	11399
652	8777	11385
653	8789	11370
654	8802	11355
655	8814	11341
656	8824	11323
657	8837	11308
658	8849	11293
659	8860	11276
660	8870	11259
661	8881	11242
662	8895	11229
663	8907	11215
664	8920	11201
665	8933	11187
666	8947	11173
667	8962	11163
668	8976	11150
669	8991	11138
670	9003	11123
671	9016	11109
672	9051	11123
673	9064	11108
674	9080	11098
675	9091	11082
676	9103	11066
677	9116	11052
678	9128	11037
679	9143	11025
680	9158	11013
681	9175	11004
682	9191	10994
683	9203	10979
684	9215	10964
685	9227	10948
686	9242	10937
687	9256	10925
688	9267	10908
689	9280	10894
690	9296	10883
691	9311	10872
692	9324	10858
693	9339	10847
694	9351	10832
695	9364	10817
696	9377	10803
697	9393	10792
698	9406	10779
699	9421	10766
700	9436	10755
701	9449	10742
